Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,profile_text
7percent Ventures,http://www.7percent.vc,"207 Regent Street, London, United Kingdom","USA,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","2. Prototype,3. Early Revenue","We invest in frontier (i.e. deeptech) and transformative technologies (fundamentally changing the dynamics of a market, the way the sector works).
Our sweet spot is first or second money-in, including the conceptual and pre-revenue rounds. We invest between $100k and $2m, depending on stage, with an average first investment of $500k.",VC,"$100,000","$2,000,000","
Name: 7percent Ventures
Type: VC
Focus: We invest in frontier (i.e. deeptech) and transformative technologies (fundamentally changing the dynamics of a market, the way the sector works).
Our sweet spot is first or second money-in, including the conceptual and pre-revenue rounds. We invest between $100k and $2m, depending on stage, with an average first investment of $500k.
Stages: 2. Prototype,3. Early Revenue
Locations: USA,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine
Check Size: $$100,000 to $$2,000,000
"
7wire Ventures,https://www.7wireventures.com/,,,"3. Early Revenue,4. Scaling",,VC,,,"
Name: 7wire Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue,4. Scaling
Locations: nan
Check Size: $nan to $nan
"
8-Bit Capital,https://8bitcapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 8-Bit Capital
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
8VC,https://8vc.com,"Pier 5, Suite 101 San Francisco, CA 94111","USA,Israel,Canada",2. Prototype,,VC,,,"
Name: 8VC
Type: VC
Focus: nan
Stages: 2. Prototype
Locations: USA,Israel,Canada
Check Size: $nan to $nan
"
9Mile Labs,https://www.9milelabs.com/,,,,,VC,,,"
Name: 9Mile Labs
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
10Branch,http://www.10branch.com,"Portland, Oregon, United States",USA,,,Family office,,,"
Name: 10Branch
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,UK,Egypt,Israel,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c",Family office,"$100,000","$200,000","
Name: 10K Ventures
Type: Family office
Focus: We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,UK,Egypt,Israel,UAE
Check Size: $$100,000 to $$200,000
"
11.2 Capital,http://www.112capital.com/about.html,USA,"USA,Canada",3. Early Revenue,,VC,,,"
Name: 11.2 Capital
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Canada
Check Size: $nan to $nan
"
13 Ventures,https://13.ventures/,USA,USA,,"We invest in consumer-facing companies that are generating revenue, with a clear growth trajectory and with a path to profitability.",VC,,,"
Name: 13 Ventures
Type: VC
Focus: We invest in consumer-facing companies that are generating revenue, with a clear growth trajectory and with a path to profitability.
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
14W,http://www.14w.com/,,,,,VC,,,"
Name: 14W
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
21M Capital,https://21mcapital.com/,,,,,VC,,,"
Name: 21M Capital
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
27V (Twenty Seven Ventures),https://twentyseven.ventures/,"Cayman Islands, KY","USA,Canada,UK,Hong Kong,Taiwan,New Zealand","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.",VC,"$25,000","$250,000","
Name: 27V (Twenty Seven Ventures)
Type: VC
Focus: We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.
Stages: 2. Prototype,1. Idea or Patent,3. Early Revenue
Locations: USA,Canada,UK,Hong Kong,Taiwan,New Zealand
Check Size: $$25,000 to $$250,000
"
39 North Capital,http://www.39northcapital.com/,"New York, New York, United States",USA,,,Family office,,,"
Name: 39 North Capital
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
42K Investimentos,http://www.42kinvest.com.br,"Florianópolis, Santa Catarina, Brazil",Brazil,,,Corporate VC,,,"
Name: 42K Investimentos
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Brazil
Check Size: $nan to $nan
"
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners.,Angel network,"$20,000","$500,000","
Name: 50 Partners Capital
Type: Angel network
Focus: We only invest in the companies accelerated by 50 Partners.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: France
Check Size: $$20,000 to $$500,000
"
83North,https://www.83north.com/,UK,"Israel,UK",3. Early Revenue,,VC,,,"
Name: 83North
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: Israel,UK
Check Size: $nan to $nan
"
122 West Ventures,https://122west.vc/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 122 West Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
137 Ventures,http://137ventures.com,,,,,VC,,,"
Name: 137 Ventures
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
208 Seed Ventures,https://www.208seedventures.com/,,,,,Angel network,,,"
Name: 208 Seed Ventures
Type: Angel network
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary","4. Scaling,5. Growth","We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.",VC,"$1,000,000","$5,000,000","
Name: 212
Type: VC
Focus: We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We invest in all types of software, deep tech, and enterprise hardware.
Stages: 4. Scaling,5. Growth
Locations: Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary
Check Size: $$1,000,000 to $$5,000,000
"
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",Morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator","$100,000","$1,000,000","
Name: 212Founders
Type: Incubator, Accelerator
Focus: We invest in early-stage Moroccan startups after a 6-month incubation program.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: Morocco
Check Size: $$100,000 to $$1,000,000
"
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,"$150,000","$8,000,000","
Name: 360 Capital
Type: VC
Focus: We invest in early-stage, innovative deeptech & digital enterprises across Europe. 
Stages: 2. Prototype,3. Early Revenue,4. Scaling
Locations: France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel
Check Size: $$150,000 to $$8,000,000
"
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,"$50,000","$500,000","
Name: 365.fintech
Type: VC
Focus: We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. 
Stages: 3. Early Revenue,4. Scaling
Locations: Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria
Check Size: $$50,000 to $$500,000
"
415 Capital,http://415capital.com/,,UK,,,VC,,,"
Name: 415 Capital
Type: VC
Focus: nan
Stages: nan
Locations: UK
Check Size: $nan to $nan
"
500 Falcons,https://mena.500.co/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 500 Falcons
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
574 Invest by SNCF,https://574invest.com,France,France,"3. Early Revenue,4. Scaling","We invest in mobility, industry 4.0 and environmental startups to help SNCF group deliver on its purpose and to boost the growth of the mobility ecosystem, while protecting our planet. ",Corporate VC,"$500,000","$5,000,000","
Name: 574 Invest by SNCF
Type: Corporate VC
Focus: We invest in mobility, industry 4.0 and environmental startups to help SNCF group deliver on its purpose and to boost the growth of the mobility ecosystem, while protecting our planet. 
Stages: 3. Early Revenue,4. Scaling
Locations: France
Check Size: $$500,000 to $$5,000,000
"
808 Ventures,https://www.808ventures.vc,Australia,Australia,,,VC,,,"
Name: 808 Ventures
Type: VC
Focus: nan
Stages: nan
Locations: Australia
Check Size: $nan to $nan
"
1337 Ventures,https://1337.ventures/,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia ","Malaysia,Vietnam,Philippines,Thailand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in ideation and early stage startups that are looking to serve ASEAN markets.,VC,"$2,500","$50,000","
Name: 1337 Ventures
Type: VC
Focus: We invest in ideation and early stage startups that are looking to serve ASEAN markets.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling
Locations: Malaysia,Vietnam,Philippines,Thailand
Check Size: $$2,500 to $$50,000
"
1517 Fund,https://www.1517fund.com/,USA,USA,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 1517 Fund
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: USA
Check Size: $nan to $nan
"
1776 Ventures,https://www.1776.ventures/,,USA,,"We only invest in seed stage startups in govtech, fintech, smart cities, transportation, education, health, and energy.",Other,,,"
Name: 1776 Ventures
Type: Other
Focus: We only invest in seed stage startups in govtech, fintech, smart cities, transportation, education, health, and energy.
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
1863 Ventures,https://1863ventures.net/,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,,"
Name: 1863 Ventures
Type: Incubator, Accelerator
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
1955 Capital,http://1955.capital/,,,,,VC,,,"
Name: 1955 Capital
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
1984.vc,http://1984.vc/,,USA,"2. Prototype,3. Early Revenue",,VC,,,"
Name: 1984.vc
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: USA
Check Size: $nan to $nan
"
2048 Ventures,https://www.2048.vc/,"New York, NY 10001, USA","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks. 
 
First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.
 
We look for companies that are differentiated and defensible through data and technology.
 
Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.
 
Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR. ",VC,"$300,000","$600,000","
Name: 2048 Ventures
Type: VC
Focus: We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks. 
 
First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.
 
We look for companies that are differentiated and defensible through data and technology.
 
Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.
 
Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR. 
Stages: 3. Early Revenue,2. Prototype,1. Idea or Patent
Locations: USA,Canada
Check Size: $$300,000 to $$600,000
"
2150,https://www.2150.vc/,"London, UK","UK,USA,Denmark,Finland,Germany,France,Sweden,Spain","4. Scaling,3. Early Revenue,5. Growth","We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.
",VC,"$1,000,000","$7,000,000","
Name: 2150
Type: VC
Focus: We invest in technology companies that seek to sustainably reimagine and reshape the urban environment. 2150’s investment thesis focuses on major unsolved problems across what it calls the ‘Urban Stack’, which comprises every element of the built environment, from the way our cities are designed, constructed and powered, to the way people live, work and are cared for.

Stages: 4. Scaling,3. Early Revenue,5. Growth
Locations: UK,USA,Denmark,Finland,Germany,France,Sweden,Spain
Check Size: $$1,000,000 to $$7,000,000
"
4490 Ventures,http://4490.ventures/,,,"3. Early Revenue,4. Scaling",,VC,,,"
Name: 4490 Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue,4. Scaling
Locations: nan
Check Size: $nan to $nan
"
A Capital,https://acapital.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: A Capital
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
A Plus Finance,https://www.aplusfinance.com/activite,"8 Rue Bellini, 75016 Paris",France,"3. Early Revenue,4. Scaling",,VC,"$300,000",,"
Name: A Plus Finance
Type: VC
Focus: nan
Stages: 3. Early Revenue,4. Scaling
Locations: France
Check Size: $$300,000 to $nan
"
A-6684 Capital,https://www.a6684capital.com/,,,"5. Growth,6. Pre-IPO",,VC,,,"
Name: A-6684 Capital
Type: VC
Focus: nan
Stages: 5. Growth,6. Pre-IPO
Locations: nan
Check Size: $nan to $nan
"
A-Force Ventures,https://www.aforceventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: A-Force Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
A-Venture,https://a-venture.eu/en/,33 avenue Foch 75116 Paris,"France,Luxembourg,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.",VC,"$30,000","$1,000,000","
Name: A-Venture
Type: VC
Focus: We invest in French, Luxembourgish and German startups, operating in the environment, mobility and hospitality sectors.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling
Locations: France,Luxembourg,Germany
Check Size: $$30,000 to $$1,000,000
"
A2B Ventures,http://www.a2bventures.com,"New York, New York, United States",USA,,,Family office,,,"
Name: A2B Ventures
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
AAF Group,http://www.aquagrofund.com/,,,"5. Growth,6. Pre-IPO",,VC,,,"
Name: AAF Group
Type: VC
Focus: nan
Stages: 5. Growth,6. Pre-IPO
Locations: nan
Check Size: $nan to $nan
"
AB Private Credit Investors,https://www.alliancebernstein.com/sites/alternatives/investments/us/private-credit-investors/home.htm,"Austin, Texas, United States",USA,,,Corporate VC,,,"
Name: AB Private Credit Investors
Type: Corporate VC
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Abac Capital,http://www.abaccapital.com/en/,,UK,,,VC,,,"
Name: Abac Capital
Type: VC
Focus: nan
Stages: nan
Locations: UK
Check Size: $nan to $nan
"
ABB Technology Ventures,https://new.abb.com/about/technology/ventures,"Zürich, Zurich, Switzerland","Israel,USA,Canada,Switzerland",3. Early Revenue,,Corporate VC,,,"
Name: ABB Technology Ventures
Type: Corporate VC
Focus: nan
Stages: 3. Early Revenue
Locations: Israel,USA,Canada,Switzerland
Check Size: $nan to $nan
"
Abbott Ventures,http://www.abbottventures.com,"Carthage, Illinois, United States",USA,,,Corporate VC,,,"
Name: Abbott Ventures
Type: Corporate VC
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
AbbVie Biotech Ventures,https://www.abbvie.com/partnerships/abbvie-ventures.html,"North Chicago, Illinois, United States",USA,,,Corporate VC,,,"
Name: AbbVie Biotech Ventures
Type: Corporate VC
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
ABC Dream Ventures,http://adventures.co.jp,"Osaka, Osaka, Japan",Japan,,,Corporate VC,,,"
Name: ABC Dream Ventures
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
Aberdare Ventures,http://aberdare.com/,,,"4. Scaling,5. Growth",,VC,,,"
Name: Aberdare Ventures
Type: VC
Focus: nan
Stages: 4. Scaling,5. Growth
Locations: nan
Check Size: $nan to $nan
"
Abies Ventures,http://abies.vc/,Japan,"USA,Canada,Japan",3. Early Revenue,,VC,"$100,000",,"
Name: Abies Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Canada,Japan
Check Size: $$100,000 to $nan
"
Abingworth,https://www.abingworth.com,UK,"USA,UK",3. Early Revenue,,VC,"$15,000,000",,"
Name: Abingworth
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,UK
Check Size: $$15,000,000 to $nan
"
ABN AMRO Ventures,https://www.abnamro.com/en/about-abnamro/in-society/innovation/abnamro-ventures/index.html,"Amsterdam, Noord-Holland, The Netherlands",Netherlands,,,Corporate VC,,,"
Name: ABN AMRO Ventures
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Netherlands
Check Size: $nan to $nan
"
ABS Capital Partners,https://www.abscapital.com/,"Baltimore, Maryland, United States",USA,,,Other,,,"
Name: ABS Capital Partners
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
ABS Ventures,http://www.absventures.com/,"Waltham, Massachusetts, United States",USA,,,Other,,,"
Name: ABS Ventures
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Abstract Ventures,https://www.abstractvc.com/,,,,,VC,,,"
Name: Abstract Ventures
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Abstraction Capital,https://abstraction.vc,"9237 Ward Parkway, Kansas City, MO",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed rounds for companies building products in the developer tool and cloud infrastructure space.,VC,"$50,000","$400,000","
Name: Abstraction Capital
Type: VC
Focus: We invest in pre-seed and seed rounds for companies building products in the developer tool and cloud infrastructure space.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: USA
Check Size: $$50,000 to $$400,000
"
Acadiana Angels,http://acadianaangels.com/,,,,,Angel network,,,"
Name: Acadiana Angels
Type: Angel network
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Accel Partners,https://www.accel.com/,"1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom ","UK,USA,France,India","3. Early Revenue,4. Scaling",,VC,,,"
Name: Accel Partners
Type: VC
Focus: nan
Stages: 3. Early Revenue,4. Scaling
Locations: UK,USA,France,India
Check Size: $nan to $nan
"
